source_id,target_id,relation,medal_weight
4860,3500,HOSTED,0
4855,3501,HOSTED,0
4734,3502,HOSTED,0
4601,3502,HOSTED,0
4691,3503,HOSTED,0
4651,3503,HOSTED,0
4697,3504,HOSTED,0
4989,3505,HOSTED,0
4590,3506,HOSTED,0
4659,3507,HOSTED,0
4726,3507,HOSTED,0
4754,3508,HOSTED,0
4521,3509,HOSTED,0
4580,3510,HOSTED,0
4967,3511,HOSTED,0
4551,3512,HOSTED,0
4995,3512,HOSTED,0
4742,3513,HOSTED,0
4895,3513,HOSTED,0
4841,3514,HOSTED,0
4861,3514,HOSTED,0
4909,3515,HOSTED,0
4642,3515,HOSTED,0
4998,3516,HOSTED,0
4500,3517,HOSTED,0
4607,3517,HOSTED,0
4962,3518,HOSTED,0
4580,3519,HOSTED,0
4938,3520,HOSTED,0
4604,3520,HOSTED,0
4787,3521,HOSTED,0
4655,3521,HOSTED,0
4951,3522,HOSTED,0
4862,3522,HOSTED,0
4998,3523,HOSTED,0
4767,3523,HOSTED,0
4948,3524,HOSTED,0
4810,3525,HOSTED,0
4852,3525,HOSTED,0
4768,3526,HOSTED,0
4602,3527,HOSTED,0
4507,3527,HOSTED,0
4811,3528,HOSTED,0
4829,3529,HOSTED,0
4666,3530,HOSTED,0
4735,3531,HOSTED,0
4856,3531,HOSTED,0
4714,3532,HOSTED,0
4980,3533,HOSTED,0
4517,3533,HOSTED,0
4500,3534,HOSTED,0
4511,3535,HOSTED,0
4659,3535,HOSTED,0
4705,3536,HOSTED,0
4904,3536,HOSTED,0
4586,3537,HOSTED,0
4946,3538,HOSTED,0
4506,3538,HOSTED,0
4867,3539,HOSTED,0
4736,3539,HOSTED,0
4546,3540,HOSTED,0
4940,3540,HOSTED,0
4727,3541,HOSTED,0
4905,3541,HOSTED,0
4786,3542,HOSTED,0
4546,3543,HOSTED,0
4961,3543,HOSTED,0
4980,3544,HOSTED,0
4610,3545,HOSTED,0
4552,3546,HOSTED,0
4761,3547,HOSTED,0
4778,3547,HOSTED,0
4655,3548,HOSTED,0
4900,3549,HOSTED,0
4584,3550,HOSTED,0
4844,3550,HOSTED,0
4778,3551,HOSTED,0
4587,3552,HOSTED,0
4504,3552,HOSTED,0
4856,3553,HOSTED,0
4688,3553,HOSTED,0
4826,3554,HOSTED,0
4612,3554,HOSTED,0
4978,3555,HOSTED,0
4827,3556,HOSTED,0
4903,3557,HOSTED,0
4773,3557,HOSTED,0
4860,3558,HOSTED,0
4913,3558,HOSTED,0
4748,3559,HOSTED,0
4893,3560,HOSTED,0
4832,3560,HOSTED,0
4574,3561,HOSTED,0
4816,3562,HOSTED,0
4557,3562,HOSTED,0
4830,3563,HOSTED,0
4518,3564,HOSTED,0
4932,3564,HOSTED,0
4696,3565,HOSTED,0
4569,3565,HOSTED,0
4987,3566,HOSTED,0
4884,3567,HOSTED,0
4710,3567,HOSTED,0
4902,3568,HOSTED,0
4907,3568,HOSTED,0
4642,3569,HOSTED,0
4663,3570,HOSTED,0
4586,3570,HOSTED,0
4930,3571,HOSTED,0
4679,3572,HOSTED,0
4686,3573,HOSTED,0
4648,3574,HOSTED,0
4662,3575,HOSTED,0
4720,3575,HOSTED,0
4505,3576,HOSTED,0
4718,3577,HOSTED,0
4970,3578,HOSTED,0
4565,3578,HOSTED,0
4725,3579,HOSTED,0
4656,3580,HOSTED,0
4536,3581,HOSTED,0
4663,3582,HOSTED,0
4612,3582,HOSTED,0
4563,3583,HOSTED,0
4581,3584,HOSTED,0
4651,3585,HOSTED,0
4505,3586,HOSTED,0
4975,3587,HOSTED,0
4641,3588,HOSTED,0
4561,3588,HOSTED,0
4885,3589,HOSTED,0
4938,3589,HOSTED,0
4741,3590,HOSTED,0
4921,3591,HOSTED,0
4660,3591,HOSTED,0
