node_id,type,name,rank_points
0,User,Grandmaster_Ayasha_R,49908.0
1,User,Grandmaster_Lucas_W,69138.0
2,User,Grandmaster_Kwame_F,49727.0
3,User,Grandmaster_Emeka_Z,50179.0
4,User,Grandmaster_Ayasha_S,85467.0
5,User,Grandmaster_Ingrid_D,88234.0
6,User,Grandmaster_Yuna_M,91186.0
7,User,Grandmaster_Sebastião_Y,65394.0
8,User,Grandmaster_Viktor_K,87986.0
9,User,Grandmaster_Emeka_L,90252.0
10,User,Grandmaster_Kai_C,69775.0
11,User,Grandmaster_Elan_B,75502.0
12,User,Grandmaster_Yusuf_G,92206.0
13,User,Grandmaster_Elif_T,79742.0
14,User,Grandmaster_Chloe_B,83529.0
15,User,Grandmaster_Lucas_X,98389.0
16,User,Grandmaster_Omar_T,82286.0
17,User,Grandmaster_Chloe_L,55705.0
18,User,Grandmaster_Aigerim_N,72379.0
19,User,Grandmaster_Pavel_S,53486.0
20,User,Grandmaster_Pavel_J,95739.0
21,User,Grandmaster_Naledi_I,98214.0
22,User,Grandmaster_Chloe_B,94805.0
23,User,Grandmaster_Omar_E,70826.0
24,User,Grandmaster_Pratyush_S,70462.0
25,User,Grandmaster_Arjun_F,71164.0
26,User,Grandmaster_Isabela_Y,76048.0
27,User,Grandmaster_Elif_V,69043.0
28,User,Grandmaster_Mia_C,79637.0
29,User,Grandmaster_Ayasha_V,62180.0
30,User,Grandmaster_Nizhoni_W,68937.0
31,User,Grandmaster_Elan_H,66311.0
32,User,Grandmaster_Kwame_P,58175.0
33,User,Grandmaster_Yusuf_E,52686.0
34,User,Grandmaster_Waddah_U,89270.0
35,User,Grandmaster_Omar_R,88281.0
36,User,Grandmaster_Mia_G,70936.0
37,User,Grandmaster_Sofia_L,87940.0
38,User,Grandmaster_Sofia_A,72808.0
39,User,Grandmaster_Kai_C,52688.0
40,User,Grandmaster_Isabela_R,69179.0
41,User,Grandmaster_Hana_O,70910.0
42,User,Grandmaster_Ayasha_O,49355.0
43,User,Grandmaster_Sofia_N,79910.0
44,User,Grandmaster_Sofia_U,49981.0
45,User,Grandmaster_Ananya_A,61717.0
46,User,Grandmaster_Lucas_Z,64112.0
47,User,Grandmaster_Hiroshi_K,56802.0
48,User,Grandmaster_Hana_A,99597.0
49,User,Grandmaster_Nizhoni_B,57866.0
50,User,Master_Hiroshi_X,40670.0
51,User,Master_Lucas_R,23807.0
52,User,Master_Sofia_M,18788.0
53,User,Master_Joon_R,38516.0
54,User,Master_Naledi_K,27275.0
55,User,Master_Fatima_E,39420.0
56,User,Master_Waddah_C,25028.0
57,User,Master_Ayasha_T,17701.0
58,User,Master_Yuna_S,35903.0
59,User,Master_Priya_M,19838.0
60,User,Master_Elif_M,43141.0
